"Table B2: Perceptions of changing crime levels, people aged 16 and over, by personal characteristics, year ending March 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,age_band,flag_depression,flag_anxiety,flag_comorbid
Respondent's occupation,Full-time students,75.23151535157191,47.74206205653888,424,unknown,0,0,0
Respondent's occupation,Not classified,78.94406794285437,55.43821340598064,317,unknown,0,0,0
Respondent's highest qualification,Degree or diploma,77.9255284803387,52.97014612209934,7195,unknown,0,0,0
Respondent's highest qualification,Apprenticeship or A/AS level,84.64364215620454,52.20587062756466,2344,unknown,0,0,0
Respondent's highest qualification,O level/GCSE,87.81361091020158,56.43733299235451,2471,unknown,0,0,0
Respondent's highest qualification,Other,84.90602591840697,53.75416438999208,701,unknown,0,0,0
Respondent's highest qualification,,83.6717718293717,51.60452572949519,2363,unknown,0,0,0
Disability [note 3],Disabled,87.1839229710805,55.03384920479204,3475,unknown,0,0,0
Disability [note 3],Not disabled,80.63326969243539,52.84463552966475,11645,unknown,0,0,0
Religion,No religion,78.76590594123047,49.92244328408881,6153,unknown,0,0,0
Religion,Christian,84.73762898619896,54.54656566774311,7653,unknown,0,0,0
Religion,Buddhist,71.78724390342802,71.39141787245374,82,unknown,0,0,0
Religion,Hindu,83.6381520629349,70.28404249087929,274,unknown,0,0,0
Religion,Jewish,78.1547956839319,78.26791080727673,55,unknown,0,0,0
Religion,Muslim,78.13394643144662,59.23934339948964,713,unknown,0,0,0
Religion,Sikh,92.16513366776906,54.78278571303209,72,unknown,0,0,0
Religion,Other,87.44574515096879,54.78631640341472,104,unknown,0,0,0
Sexual orientation [note 4],Heterosexual/straight,82.2828183001992,53.69927097301671,12775,unknown,0,0,0
Sexual orientation [note 4],Gay/Lesbian,76.186636291642,54.76442757582299,226,unknown,0,0,0
Sexual orientation [note 4],Bisexual,76.58973425028914,41.92846395292734,322,unknown,0,0,0
Sexual orientation [note 4],Other,71.4692981948087,49.7387968640819,84,unknown,0,0,0
Gender identity [note 5],Gender identity the same as sex registered at birth,81.8438031767701,53.98279832922213,12676,unknown,0,0,0
Gender identity [note 5],Gender identity different from sex registered at birth,79.0867757476079,45.64436485946658,88,unknown,0,0,0
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,85.22769975544999,64.27977081391941,2582,unknown,0,0,0
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,81.01751917487789,51.00175778941768,12624,unknown,0,0,0
Hours out of home on an average weekday,Less than 3 hours,82.1810103629583,50.5975287902374,6147,unknown,0,0,0
Hours out of home on an average weekday,3 hours or more but less than 7 hours,81.17434487908494,54.89505497402558,4228,unknown,0,0,0
Hours out of home on an average weekday,7 hours or longer,81.6124047297241,55.05785997713576,4739,unknown,0,0,0
Number of evening visits to pub/bar in the last month,,83.21032854510925,53.52955756695784,8871,unknown,0,0,0
Number of evening visits to pub/bar in the last month,Less than once a week ,80.57739134741765,53.77009808030044,4400,unknown,0,0,0
Number of evening visits to pub/bar in the last month,Once a week or more often,78.58015709083365,51.64898495017744,1922,unknown,0,0,0
Number of visits to a nightclub/disco in the last month,,81.95588583550754,53.47531145489999,14613,unknown,0,0,0
Number of visits to a nightclub/disco in the last month,1-3 times a month,76.72087160267552,49.81952185571071,506,unknown,0,0,0
Number of visits to a nightclub/disco in the last month,4+ times a month,86.0648449183,53.158413899858,77,unknown,0,0,0
