"table s8: public confidence in the police and local council, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Agree,Disagree,No opinion,"Unweighted base
 - number of adults",Personal characteristic1,Agree,Disagree,No opinion,"Unweighted base
 - number of adults",unknown
   Caribbean,50.1893452426348,23.901413997301507,25.909240760063735,286,Experience of crime in the last 12 months (including fraud and computer misuse),,,,,unknown
   Any other Black/African/Caribbean background,46.957015157481386,17.536947993171868,35.50603684934673,66,Victim,43.98596334779775,29.099142015655243,26.914894636547025,5909,unknown
Other ethnic group,53.3860009462618,19.552739798852276,27.061259254885922,260,Not a victim,54.22450338875717,17.814182572927148,27.961314038316313,26316,unknown
   Arab,56.64929122741367,21.697973033428944,21.652735739157396,105,,,,,,unknown
   Any other ethnic group,50.886954539634466,17.909907888614104,31.203137571751455,155,Hours out of home on an average weekday,,,,,unknown
,,,,,Less than 3 hours,53.16175248742899,18.746978325116206,28.091269187454905,10060,unknown
Marital status,,,,,3 hours or more but less than 7 hours,51.72147454848069,19.83431396063253,28.444211490886556,8643,unknown
Married/civil partnered,51.72113899212265,20.469898016019027,27.808962991858483,14687,7 hours or longer,51.98228146301375,20.836921753914876,27.180796783071315,13393,unknown
Cohabiting,51.28419574573713,21.05555749811217,27.660246756150723,3373,,,,,,unknown
Single,52.8746222983102,19.460525865267,27.664851836422592,7269,Number of evening visits to pub/bar in the last month,,,,,unknown
Separated,52.799324738541344,20.112392968611484,27.088282292847243,909,,52.872593425589585,19.497657892070926,27.62974868233934,17180,unknown
Divorced/legally dissolved partnership,49.97837822750728,22.531835060974263,27.489786711518597,2819,Less than once a week ,52.659174579733005,19.574679765300754,27.76614565496575,9555,unknown
Widowed,58.03285624550146,13.562809536601922,28.40433421789679,3082,Once a week or more often,49.599911293745194,22.26513265162392,28.134956054630837,5475,unknown
,,,,,Number of visits to a nightclub in the last month,,,,,unknown
,,,,,,52.16612467840691,20.09879986114602,27.73507546044715,30658,unknown
,,,,,1-3 times a month,53.98432529372824,18.33562244164884,27.680052264623235,1363,unknown
,,,,,4+ times a month,47.30991595579482,21.93624216883883,30.753841875366327,197,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,,unknown
"2. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,,,unknown
"3. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,,,unknown
4. The relevant question relating to overall level of perceived anti-social behaviour is only asked of one quarter of the CSEW sample.,,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,unknown
