"table s20:  awareness and use of the 101 non-emergency police number, year ending march 2012 to year ending march 2016 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,Apr '11 to Mar '12,Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,April 2015 to March 2016  compared with:,unknown
,,,,,,Apr '14 to Mar '15,unknown
,Percentage saying that they:,,,,,Statistically significant difference,unknown
Were aware of the 101 non-emergency police number,29.606657530730203,50.676985115684914,57.68041736764181,62.700431233419316,70.81660358529024,*,unknown
Had used the 101 non-emergency police number,2.414271881450104,7.654422576731654,9.373576998664682,11.90359695715783,13.363663305178216,*,unknown
Unweighted base - number of adults,11338,8734,9195,8531,9039,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
