"Table C19: Community Safety Partnerships: Crime rate per 1,000 population for categories of anti-social behaviour, year ending March 2025 [note 1][note 4][note 5][note 6]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,age_band,flag_depression,flag_anxiety,flag_comorbid
E23000022,Northamptonshire,E22000239,Wellingborough,E07000156,Wellingborough,84400,19.524678340402343,4.596829609269483,10.283629125891524,4.644219605241333,unknown,0,0,0
E23000007,Northumbria,,,,,1466200,23.4777039566704,2.3755982476637905,18.10992956415991,2.992176144846698,unknown,0,0,0
E23000007,Northumbria,E22000244,Gateshead,E08000037,Gateshead,197700,21.858973710563316,2.179828243695694,16.295606963312125,3.383538503555497,unknown,0,0,0
E23000007,Northumbria,E22000245,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,307600,30.46185359192366,3.11804008908686,24.27454359241136,3.0692699104254384,unknown,0,0,0
E23000007,Northumbria,E22000246,North Tyneside,E08000022,North Tyneside,210500,23.322105403184043,2.5322228926251977,17.392998142403094,3.396884368155753,unknown,0,0,0
E23000007,Northumbria,E22000358,Northumberland,E06000057,Northumberland,324400,19.311756617606253,2.025514702708702,14.607136470979954,2.679105443917598,unknown,0,0,0
E23000007,Northumbria,E22000247,South Tyneside,E08000023,South Tyneside,148700,24.70622263178782,2.522415869022715,18.847491373337725,3.336315389427378,unknown,0,0,0
E23000007,Northumbria,E22000248,Sunderland,E08000024,Sunderland,277400,21.052517721035212,1.8676492857503408,16.70067855520382,2.484189880081052,unknown,0,0,0
E23000007,Northumbria,,Unassigned Northumbria,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000019,Nottinghamshire,,,,,1163300,21.288794715193816,0.7856722268306205,18.16157856507369,2.341543923289508,unknown,0,0,0
E23000019,Nottinghamshire,E22000251,Ashfield,E07000170,Ashfield,127200,22.472263502622287,0.8020192012832307,18.871040030193665,2.7992042711453933,unknown,0,0,0
E23000019,Nottinghamshire,E22000252,Bassetlaw,E07000171,Bassetlaw,120000,17.723227677232277,0.758257507582575,13.840282638402826,3.124687531246875,unknown,0,0,0
E23000019,Nottinghamshire,E22000255,Mansfield,E07000174,Mansfield,111100,23.33576320455016,0.7919580262246101,19.6009611490591,2.9428440292664493,unknown,0,0,0
