"Table C15:  Anti-social behaviour incidents, by category of incident and by police force area [note 1]",Unnamed: 1,Unnamed: 2,Unnamed: 3,age_band,flag_depression,flag_anxiety,flag_comorbid
"England and Wales, year ending March 2025",,,,unknown,0,0,0
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,unknown,0,0,0
Link to Notes page,,,,unknown,0,0,0
"ASB incident data statistics are published as official statistics, not accredited official statistics.",,,,unknown,0,0,0
Link to Table of Contents,,,,unknown,0,0,0
Source:  Police recorded crime incidents from the Home Office ,,,,unknown,0,0,0
Area name," % Personal 
[note 5]","% Nuisance
 [note 6]","% Environmental
 [note 7]",unknown,0,0,0
ENGLAND AND WALES[note 8],17.655437308060883,74.16415764275706,8.180405049182045,unknown,0,0,0
ENGLAND,17.175570584376942,74.62553261807318,8.19889679754988,unknown,0,0,0
North East ,11.29252127042823,78.1231882922549,10.58429043731687,unknown,0,0,0
Cleveland,5.418181818181819,92.24242424242424,2.3393939393939394,unknown,0,0,0
Durham,14.919229574401987,62.705809257533396,22.374961168064615,unknown,0,0,0
Northumbria,12.744756260531057,77.13671489163907,10.118528847829875,unknown,0,0,0
North West ,37.91262468187843,53.14948136072031,8.937893957401267,unknown,0,0,0
Cheshire,18.729721757939238,75.23350702979059,6.03677121227018,unknown,0,0,0
Cumbria,12.676446166620536,82.09244395239413,5.231109880985331,unknown,0,0,0
Greater Manchester,50.501693780027566,33.68625784097789,15.81204837899455,unknown,0,0,0
Lancashire,34.69622858869521,63.69095956639157,1.6128118449132218,unknown,0,0,0
Merseyside,6.035379812695109,91.32643692232357,2.638183264981331,unknown,0,0,0
Yorkshire and The Humber,10.740716988392228,75.46463156544604,13.79465144616174,unknown,0,0,0
Humberside,12.52877342979283,82.12210895538749,5.349117614819686,unknown,0,0,0
North Yorkshire,25.62524551525468,68.77700667801493,5.597747806730392,unknown,0,0,0
South Yorkshire,12.10245630425474,53.229008525049636,34.66853517069563,unknown,0,0,0
West Yorkshire,0.7460812798163493,97.43893252986119,1.814986190322465,unknown,0,0,0
East Midlands,14.2230415606842,75.48946398151821,10.287494457797587,unknown,0,0,0
Derbyshire,10.162190672937452,83.4776493340952,6.360159992967342,unknown,0,0,0
Leicestershire,8.919649438938489,72.92161520190024,18.158735359161273,unknown,0,0,0
Lincolnshire,23.28051247471342,67.32130815913689,9.398179366149696,unknown,0,0,0
Northamptonshire,24.48445905558876,52.39838613269575,23.117154811715483,unknown,0,0,0
Nottinghamshire,10.998950173625131,85.31050633933619,3.6905434870386817,unknown,0,0,0
West Midlands,18.883149936372483,74.25705516880005,6.859794894827457,unknown,0,0,0
Staffordshire,26.980966791431076,71.65724297204747,1.3617902365214622,unknown,0,0,0
Warwickshire,28.561378825184665,63.71204127095791,7.726579903857428,unknown,0,0,0
West Mercia,12.130560868760412,82.87776886530511,4.991670265934473,unknown,0,0,0
West Midlands,16.348044200393193,73.67636092468307,9.975594874923734,unknown,0,0,0
East ,16.3575538605647,72.83821758329988,10.804228556135422,unknown,0,0,0
Bedfordshire,5.427144970414202,82.25776627218934,12.31508875739645,unknown,0,0,0
Cambridgeshire,8.539197486791375,83.47850921033843,7.982293302870199,unknown,0,0,0
Essex,24.538352272727273,71.54829545454545,3.9133522727272725,unknown,0,0,0
Hertfordshire,18.081063964534515,62.67981543472361,19.23912060074188,unknown,0,0,0
Norfolk,20.644319550381375,74.03653151344841,5.319148936170213,unknown,0,0,0
Suffolk,24.80042575838212,67.48270356572645,7.716870675891431,unknown,0,0,0
London ,9.977712796708866,86.30803260969745,3.714254593593686,unknown,0,0,0
City of London,3.934010152284264,92.38578680203045,3.6802030456852792,unknown,0,0,0
Metropolitan Police,9.997730272283261,86.28790235126978,3.7143673764469516,unknown,0,0,0
South East,11.959067204565581,75.11364754501624,12.927285250418183,unknown,0,0,0
Hampshire,7.11046511627907,51.58139534883721,41.30813953488372,unknown,0,0,0
Kent,10.286429570723806,86.00250349753333,3.7110669317428764,unknown,0,0,0
Surrey,18.660907127429805,65.18358531317494,16.15550755939525,unknown,0,0,0
Sussex,10.587548475876735,84.65868812810142,4.75376339602185,unknown,0,0,0
Thames Valley,15.497241841521886,76.04268701345569,8.460071145022425,unknown,0,0,0
South West,22.64393536662257,71.20674521245688,6.149319420920543,unknown,0,0,0
Avon and Somerset,15.668182420202198,80.12891263078893,4.202904949008874,unknown,0,0,0
Devon and Cornwall,30.930404642286874,64.54414456517506,4.525450792538069,unknown,0,0,0
Dorset,10.745501285347043,78.17847961806831,11.07601909658465,unknown,0,0,0
Gloucestershire,31.103074141048825,60.00904159132007,8.887884267631103,unknown,0,0,0
Wiltshire,24.378488077118213,70.94114662607814,4.680365296803653,unknown,0,0,0
WALES,28.524846146780565,63.7136033801782,7.7615504730412415,unknown,0,0,0
Dyfed-Powys,9.733036707452724,82.61957730812013,7.647385984427141,unknown,0,0,0
Gwent,19.823053167515233,69.00926466905935,11.167682163425424,unknown,0,0,0
North Wales,50.1547286587667,46.260095101517095,3.585176239716205,unknown,0,0,0
South Wales,20.730878956663496,70.49313951908708,8.775981524249422,unknown,0,0,0
British Transport Police,4.5292829775588395,93.78762999452654,1.6830870279146142,unknown,0,0,0
