"Table A6: Percentage of CSEW headline crime incidents reported to the police or Action Fraud, statistical significance of change year ending March 2025 compared with selected years [note 1, 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,age_band,flag_depression,flag_anxiety,flag_comorbid
Arson and other criminal damage,33.351380617479194,32.75875440393079,32.61710177325212,29.527872739166643,39.37902485695724,37.688248662375685,37.359447687443534,38.334918916469746,40.48768091218649,38.53902061962975,40.395552736514794,40.872819102753326,46.401727161485056,43.44428839859113,44.883521126140366,46.530531199612504,43.42358463996035,40.85586992550977,47.472374857609225,42.99727448879283,49.33315294576649,43.73496631282355,42.083523003286174,40.685296355146065,44.643882103758656,55.67022065500494,249,[s],unknown,0,0,0
"COMPARABLE CRIME [note 6, 7]",[x],[x],[x],[x],[x],43.09981615522845,41.66150254662288,42.79600025091968,42.29903325430494,40.71668532899058,41.8825053543921,40.82483946563979,43.44591055977819,41.00126814950369,41.832431257317445,42.607193740614235,43.38211044745487,45.122271152069985,46.00525890174788,42.27907613423195,40.3138156432741,42.268550524825486,43.106416615712064,41.14084073443798,41.461160555056544,42.28864999148324,2694,,unknown,0,0,0
ALL CSEW HEADLINE CRIME (EXCLUDING FRAUD AND COMPUTER MISUSE),30.78207987719066,43.43152840994205,40.66880146919817,38.644078030857905,39.88762114824849,41.152214078680544,39.95689160976125,40.65518269866895,40.12882067238307,39.107413621817,39.506148633920965,38.685694142985355,40.66253444030403,38.67167667184204,38.80541928436723,39.84792117075375,39.57043036806082,41.68877723197808,42.00318741725164,39.54856571092459,38.07869310274891,37.85332501612134,39.26337412540891,37.3894087428885,36.84671287829976,36.90319448315852,3595,[s],unknown,0,0,0
"FRAUD AND COMPUTER MISUSE [note 8, 9]",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.206533171185207,10.672969032431288,13.259797930274313,12.42443359828648,11.515285653303913,12.22349625587052,12.14545117154013,2799,[z],unknown,0,0,0
"Fraud [note 8, 9]",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],18.456823956294254,13.680475190821987,15.054247704595491,14.489159877501564,13.112882504060172,14.013218076599488,13.43655538476634,2397,[z],unknown,0,0,0
Bank and credit account fraud,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],16.110226782822885,11.165150120477401,12.028843619141012,11.194166799411448,9.467012790061833,11.082259883674125,11.05777468432749,1409,[z],unknown,0,0,0
Consumer and retail fraud,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],19.874710781410315,16.92324452704824,16.42510867203619,16.116598687671242,14.793568099149912,12.158679125833185,11.13187162284221,643,[z],unknown,0,0,0
All other fraud [note 10],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],43.961900059883114,34.134436850124295,45.1055773764522,38.137220823352266,24.43765579722869,31.490436880539214,26.88356320002057,345,[z],unknown,0,0,0
Cyber [note 11],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],19.492009896164635,13.604493919144584,12.579615878512493,13.321408135504017,12.97288854554625,14.359486504037838,12.88255189169228,1333,[z],unknown,0,0,0
Non-cyber [note 12],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],17.160314494821755,13.791806778793859,17.929209824030064,15.829021206129465,13.11932504706089,13.71166618651917,13.91029649132921,1059,[z],unknown,0,0,0
"Computer misuse [note 8, 9]",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],5.730320038824571,2.6869464909369727,6.201398100468718,3.828386126191559,3.992921019820611,6.629017078502668,4.41520874584601,402,[z],unknown,0,0,0
Computer virus,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3.782448699779202,0.8340564925041686,2.428882693804307,2.7862165314239995,1.8792802390488503,4.82528055393723,1.084103968341626,68,[z],unknown,0,0,0
Unauthorised access to personal information (including hacking),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],9.546360605692431,5.349070072529192,9.372309823544981,4.5549019189037745,4.411539826721454,6.916880140548434,5.165083062844862,334,[z],unknown,0,0,0
ALL CSEW HEADLINE CRIME (INCLUDING FRAUD AND COMPUTER MISUSE) [note 13],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],27.86617375236239,26.567280218598427,27.386541609936792,27.323157105314973,24.63456512430109,25.103359620885406,24.1914338290565,6395,[z],unknown,0,0,0
