"table s24: awareness of police and crime commissioners, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,Personal characteristic1,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentage,,,Percentage,,unknown
   Irish,57.42823608112159,166,Hindu,32.22394373656453,254,unknown
   Gypsy or Irish Traveller,-,10,Jewish,58.75161308734863,52,unknown
   Any other White background,26.69176057874456,1314,Muslim,29.27231253851163,702,unknown
Mixed/Multiple,39.410362723495815,277,Sikh,43.45611293318136,133,unknown
   White and Black Caribbean,43.29900748342208,82,Other,52.028710137346735,133,unknown
   White and Black African,32.03964199243403,37,,,,unknown
   White and Asian,35.79692581192325,83,Sexual orientation4,,,unknown
   Any other Mixed/Multiple ethnic background,43.37068362944662,75,Heterosexual/straight,57.408465717256185,21308,unknown
Asian/Asian British,31.668369273667224,1266,Gay/Lesbian,58.83365234059905,308,unknown
   Indian,36.035070382599855,520,Bisexual,58.11908642646725,329,unknown
   Pakistani,30.232713505816918,331,Other,39.15282688369916,112,unknown
   Bangladeshi,35.71000470629067,88,,,,unknown
   Chinese,21.894113734643966,120,Confidence in police and local council dealing with issues,,,unknown
   Any other Asian background,25.65155372973875,207,Agree,57.51305273009757,14131,unknown
Black/African/Caribbean/Black British,36.58337232444589,430,No opinion,55.13819890599042,7556,unknown
   African,32.413507549747635,269,Disagree,58.502968949350866,5320,unknown
   Caribbean,46.72072758787436,131,,,,unknown
   Any other Black/African/Caribbean background,-,30,Experience of crime in last 12 months (including fraud and computer misuse),,,unknown
Other ethnic group,25.414382501178263,148,Victim,57.42971675422568,5003,unknown
   Arab,23.947904213883206,50,Not a victim,56.56735093226568,23330,unknown
   Any other ethnic group,26.405825723942012,98,,,,unknown
,,,Hours out of home on an average weekday,,,unknown
Marital status,,,Less than 3 hours,57.418859917557405,9170,unknown
Married/civil partnered,64.3736082730575,13017,3 hours or more but less than 7 hours,57.45982288703764,7677,unknown
Cohabiting,53.248013751119004,3043,7 hours or longer,55.833494268089176,11373,unknown
Single,41.15209870237735,5891,,,,unknown
Separated,54.5883851789741,806,Number of evening visits to pub/bar in the last month,,,unknown
Divorced/legally dissolved partnership,59.064494799389855,2583,,52.49351555587152,14923,unknown
Widowed,56.11319091208805,2927,Less than once a week ,60.070616741764084,8567,unknown
,,,Once a week or more often,62.7362858489668,4829,unknown
,,,Number of visits to a nightclub/disco in the last month,,,unknown
,,,,57.82127220964528,27036,unknown
,,,1-3 times a month,39.681717761960265,1124,unknown
,,,4+ times a month,48.000410157158946,166,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,unknown
2. The unweighted base refers to non-London residents only. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,,,,,unknown
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,unknown
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,unknown
