"table s32: worry about crime, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,Adults aged 16 and over,,,,unknown
Personal characteristic1,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,Personal characteristic1,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high level of worry,,,,,,Percentage with high level of worry,,,,,unknown
   Pakistani,15.859267540385291,19.99165093337619,26.263321162494286,28.11069593620868,119,Experience of crime in last 12 months (including fraud and computer misuse),,,,,,unknown
   Bangladeshi,23.29965097001799,-,-,-,56,Victim,14.151645302273302,12.124803605051994,24.12432061978988,10.431834603093163,1591,unknown
   Chinese,-,-,-,-,48,Not a victim,8.904590080949399,5.452905836079407,17.65413255023976,7.975654649415354,6978,unknown
   Any other Asian background,36.30793100881309,19.61196598226664,27.246078673239754,22.835846705010628,115,,,,,,,unknown
Black/African/Caribbean/Black British,15.704106889940578,12.959464206389201,33.941723206868865,20.68937527955098,241,Hours out of home on an average weekday,,,,,,unknown
   African,14.937917644829781,14.364566681925117,37.31866267362696,22.661069706214626,140,Less than 3 hours,11.010292056428979,6.766926836363048,22.365984312740157,11.366502016017334,2730,unknown
   Caribbean,15.141789336638867,-,31.49773238988637,18.451221659883004,82,3 hours or more but less than 7 hours,11.006889055948783,6.454951552198279,19.75521475461742,8.557363500011153,2316,unknown
   Any other Black/African/Caribbean background,-,-,-,-,19,7 hours or longer,8.554761465722455,7.0141825049464686,16.400975838027527,6.761646840787007,3483,unknown
Other ethnic group,13.301924723144257,-,12.59341511505854,3.7717086844803154,65,,,,,,,unknown
   Arab,-,-,-,-,24,Number of evening visits to pub/bar in the last month,,,,,,unknown
   Any other ethnic group,-,-,-,-,41,,12.292940309273073,8.888349360241735,21.732575329342655,11.327202206133274,4645,unknown
,,,,,,Less than once a week ,7.279205693854079,5.020933494841515,17.257866584574504,6.031544020036003,2491,unknown
Marital status,,,,,,Once a week or more often,7.286192249094506,4.392786535920643,13.942729592038733,4.666022367434877,1428,unknown
Married/civil partnered,10.53477526269861,6.799999699902537,21.16647890671355,8.487349454679869,3902,,,,,,,unknown
Cohabiting,9.05269823901729,6.318738818154383,14.463682248337465,5.798541788050422,918,Number of visits to a nightclub in the last month,,,,,,unknown
Single,8.271103484366192,7.065413064844828,14.362903861083435,8.889962250123677,1925,,10.151703646501298,6.923363509753193,19.465718086053492,8.680241806567492,8145,unknown
Separated,15.21407214575963,12.225268433682556,21.428918371261137,11.084520371704471,215,1-3 times a month,6.639895113274434,3.904197131494793,13.394856343247444,5.9549023302877115,375,unknown
Divorced/legally dissolved partnership,10.824020644668167,6.629952967205751,25.848256515824797,10.317109864634984,732,4+ times a month,-,-,-,-,47,unknown
Widowed,11.463149695303128,4.393634600805943,21.29241890233267,9.31413569236799,858,,,,,,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,,,,unknown
2. The question on worry about fraud was first introduced into the survey in April 2018.,,,,,,,,,,,,unknown
"3. Unweighted base refers to worry about burglary. Bases for fraud and violent crime will be similar but for car crime will be slightly lower as these are based only on those residing in households owning, or with use of, a vehicle.",,,,,,,,,,,,unknown
"4. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,,,,,unknown
"5. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,,,unknown
"""~"" Denotes that figures have been suppressed due to disclosure constraints.",,,,,,,,,,,,unknown
