"table s4: trends in ratings and perceptions of the local police, year ending march 2006 to year ending march 2017 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,age_band
England and Wales,,,,,,,,,,,,,,Adults aged 16 years and over,unknown
,Apr '05 to Mar '061,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '122,Apr '12 to Mar '132,Apr '13 to Mar '142,Apr '14 to Mar '152,,,April 2016 to March 2017  compared with:,,unknown
,,,,,,,,,,,Apr '15 to Mar '162,Apr '16 to Mar '172,Apr '11 to Mar '123,Apr '15 to Mar '16,unknown
,Percentage,,,,,,,,,,,,Statistically significant difference,,unknown
Police doing a good/excellent job,50.37441389217516,51.146771081026735,52.551714230004066,53.27421117756695,56.35240975170137,58.763691908753465,62.33451627076727,61.44513998629884,62.66271119667461,62.010282415458406,62.90068808370317,62.25710159619743,,,unknown
,Percentage saying they 'tend to agree' or 'strongly agree' that:,,,,,,,,,,,,,,unknown
Police can be relied upon when needed,46.73288859027661,46.795298686003115,48.4047804801317,47.71662100120971,50.13955261196465,54.11118534888547,58.501518125008225,58.78156233566227,60.68084518254923,61.01646737017211,61.051125056320785,61.456815781015585,*,,unknown
Police would treat you with respect,82.18691508607283,82.68899769516325,83.27362994894571,83.76360645266872,84.15813348127067,85.04564042514488,85.88822373712908,85.7201080692511,85.7748327003524,85.95035293568574,87.09550789779874,87.03296914422492,*,,unknown
Police would treat you fairly,62.853916785916,61.63873140012197,63.6518891075725,64.94080297759788,65.31222129356696,66.90158226904549,66.5420433084478,64.59660199440532,65.39987594089803,65.88043687352828,67.43478397372749,67.92374334823927,*,,unknown
Police can be relied upon to deal with minor crimes4,41.81582377963475,41.28268845156186,42.907140030032195,45.73859353763567,47.71763493358504,49.9102466635552,:,:,:,:,:,:,,,unknown
Police understand local concerns,60.09512789737344,60.355296613518775,62.35827792689377,65.50239163557048,66.7587777256674,67.33013023011546,72.40358102654484,70.85459331935068,71.74075884772817,70.49552227490311,71.45628687383892,70.40265870561662,*,*,unknown
Police deal with local concerns,48.820199296885,48.54077747731538,51.06621194987664,53.686097093347385,55.592224556376266,57.73795296578257,61.97350395400715,60.497582145427046,62.25114599267019,61.66066513361077,61.734862871828,60.69334004087765,*,*,unknown
Overall confidence in local police,63.09468995793118,63.95504296668775,65.21086668692017,66.8710830976965,68.95915176805579,71.94178146464516,75.03013699722142,74.48191262613707,75.85975569527233,75.76909062351594,78.72552971615826,78.3315647131796,*,,unknown
Unweighted base - number of adults5,47431,46855,46627,45960,44293,46467,45736,34628,35075,32832,34471,34767,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,,,unknown
"1. While the questions were introduced in year ending March 2005, the first full year of data was year ending March 2006.",,,,,,,,,,,,,,,unknown
"2. Numbers from year ending March 2012 CSEW onwards are not directly comparable with those previous; the methodological note published alongside Focus On: Public Perceptions of Policing, 2011/12 provides more information.",,,,,,,,,,,,,,,unknown
3. This is the earliest period for which statistical significance testing can be performed upon directly comparable data.,,,,,,,,,,,,,,,unknown
4. The question on 'police can be relied upon to deal with minor crimes' was not asked from year ending March 2012 onwards.,,,,,,,,,,,,,,,unknown
5. Unweighted base refers to overall confidence in the local police. Other bases will be similar.  ,,,,,,,,,,,,,,,unknown
