"table s5:  perceptions of the local police by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted  base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
Routine and manual occupations,60.017318915844534,85.52670376843562,67.81114382492126,70.79979319546419,62.36539148337773,77.51782062024809,76.07522804504589,12155,unknown
Never worked and long-term unemployed,63.3405543378473,83.57902134291956,67.56498851858605,66.82430726726666,61.630331149669836,75.08624537001438,74.17238460222126,1204,unknown
Full-time students,75.01317016537703,88.80435416520277,72.51134759254006,72.82679607605176,64.41714237077774,84.52151000601644,82.99138600280251,1084,unknown
Not classified,59.04073089940681,77.44768420592693,67.45270420811502,56.228967752650846,53.6392630901117,68.8665739524223,69.83632083574538,223,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,unknown
2. Unweighted base refers to overall confidence in the local police. Other bases will be similar.,,,,,,,,,unknown
"3. The relevant questions relating to internet usage, overall level of perceived anti-social behaviour, and awareness of neighbourhood policing, are only asked of one quarter of the CSEW sample.",,,,,,,,,unknown
4. The question relating to perceptions of local crime rates is only asked to half of the sample.,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,unknown
"Table S5: Perceptions of the local police by personal characteristics, year ending March 2016 CSEW1 (continued)",,,,,,,,,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
Highest qualification,,,,,,,,,unknown
Degree or diploma,61.17688714497033,87.66482148729679,64.98173828618275,71.69124410476012,59.99109759708373,81.42549804630295,80.33760911067833,13404,unknown
Apprenticeship or A/AS level,60.822759048124354,87.27655897260395,67.92852443693796,71.06450539204926,60.27587942837882,80.60903413749489,78.1677935902203,6267,unknown
O level/GCSE,57.25325972185627,85.5594673944728,66.04024576028745,69.54294123681447,59.57473796884981,76.48011757297843,75.40111392202847,6457,unknown
Other,64.17281939923332,87.37925482939907,68.2723429168817,70.27257097150157,64.5488181361409,78.65769967287352,78.40639295532687,1455,unknown
,62.68859586598129,86.84948553006524,70.82216498486524,72.39413065174159,66.73004949203396,79.60007945516897,78.04012610189173,7204,unknown
Long-standing illness or disability ,,,,,,,,,unknown
Long-standing illness or disability ,55.98288119428555,85.23517190632978,63.65523158620569,67.23349856278318,58.70662170771327,76.14576372782786,75.23009499893354,8694,unknown
Limits activities,55.58716378706839,84.32969418396124,63.125958955174944,66.54631286235765,58.37419305498932,75.40733107609718,74.20727509867878,6791,unknown
Does not limit activities,57.15173358407474,88.21442989333788,65.29551016893389,69.50444160275104,59.91226674840463,78.57063617723618,78.56795275878848,1894,unknown
No long-standing illness or disability ,62.06586481909577,87.5341436517081,67.86272579978932,72.32399581214268,62.06807967934004,80.90634935799059,79.36828574604505,26131,unknown
Internet usage3,,,,,,,,,unknown
Used in last 12 months,60.70545468389644,86.4926247967848,66.17084284574648,70.51416993670931,59.65076981819165,79.52911815710073,77.83952967023856,21787,unknown
Not used in last 12 months,64.74893698642109,90.06139908393457,73.8229351316096,74.69791199293674,70.11882144336383,83.6973986602266,82.47398081434719,4719,unknown
Overall level of perceived ASB3,,,,,,,,,unknown
High,45.40869712493714,77.67523113631054,52.91341124960495,60.51272118858863,44.13662515222749,64.72265892972314,61.73016088949874,821,unknown
Not high,62.58505015216495,88.88848444569616,67.87555585255807,74.09409585176334,64.83641264622356,82.24534897102195,81.78032515038771,7743,unknown
Perception of local crime rate4,,,,,,,,,unknown
Higher than average,51.70611625480361,81.49486859837432,56.207382200491296,64.39804438730401,48.58513405804973,66.89786999961515,62.668887724403554,1299,unknown
About average,57.97304854855637,85.4885505680723,65.51266947966694,69.18847291135671,58.91944298950453,77.26496541498321,75.08701677576164,5880,unknown
Lower than average,64.26132789536888,89.2223484492007,70.49423791393966,74.93369772053333,66.51686739800992,83.89216044203712,83.64921757849197,10213,unknown
Experience of crime in last 12 months,,,,,,,,,unknown
Victim,58.08081276264894,84.44984406815709,64.09182110619972,67.10840407138302,55.13283645730556,73.96277399084636,71.08650823374305,4830,unknown
Not a victim,61.231037992026124,87.49328753437096,67.46978723329123,71.9526630492032,62.46548429770426,80.94442699597626,79.81034432343901,30092,unknown
