"Table A13: Number of violence against the person and robbery offences recorded by the police which involved a corrosive substance [note 1,2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,age_band,flag_depression,flag_anxiety,flag_comorbid
England and Wales year ending March 2025,,,,,,,unknown,0,0,0
This worksheet contains one table.,,,,,,,unknown,0,0,0
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,,,unknown,0,0,0
Link to Notes,,,,,,,unknown,0,0,0
Link to Table of Contents,,,,,,,unknown,0,0,0
Source: Police recorded crime from the Home Office,,,,,,,unknown,0,0,0
Offence type,"Apr 2019 to
 Mar 2020","Apr 2020 to
 Mar 2021","Apr 2021 to
 Mar 2022","Apr 2022 to
 Mar 2023","Apr 2023 to
 Mar 2024","Apr 2024 to
 Mar 2025",unknown,0,0,0
Number of recorded offences which involved a corrosive substance,637,558,525,486,475,576,unknown,0,0,0
