"table s27:  perceptions of police contact and complaints process, year ending march 2011 to year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,Adults aged 16 and over,,,,,,,unknown
,,,,,,,,,,April 2018 to March 2019 compared with:,unknown
,Apr '10 to Mar '11,Apr '11 to Mar '12,Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,Apr '16 to Mar '17,Apr '17 to Mar '18,Apr '18 to Mar '19,Apr '17 to Mar '18,unknown
,Percentages,,,,,,,,,Statistically significant difference,unknown
Respondent ever annoyed or dissatisfied with the police2,,,,,,,,,,,unknown
Yes,25.144287487763055,26.33193163578882,29.33573208729376,28.974732995726143,26.532059421840202,22.96937935312359,24.271289764280404,22.475296307482388,24.09517695589889,*,unknown
No,74.85571251223695,73.66806836421118,70.66426791270625,71.02526700427386,73.46794057815981,77.03062064687641,75.7287102357196,77.5247036925176,75.90482304410111,*,unknown
Unweighted base - number of adults,11516,11347,4548,9186,8544,9050,9144,8894,8754,,unknown
"Respondent been annoyed or dissatisfied with police in last 5 years2,3",,,,,,,,,,,unknown
Yes,67.75600907242031,64.18431069990379,63.53229000882972,60.43851937840837,59.20105987886938,59.21083871372333,62.42044092440977,63.516810910172296,63.78495813681489,,unknown
No,32.243990927579695,35.815689300096196,36.467709991170274,39.56148062159161,40.79894012113062,40.78916128627667,37.57955907559024,36.48318908982771,36.215041863185114,,unknown
Unweighted base - number of adults,2826,2930,1295,2624,2196,2066,2201,1996,2087,,unknown
"Respondent made official complaint against police in last 5 years2,4",,,,,,,,,,,unknown
Yes,12.606315055637593,10.472316170200697,9.980127998703757,10.92584650242785,9.894689194035935,9.955061981408221,7.861937749830314,9.776979034797987,9.14489614961892,,unknown
Tried to but failed,2.4019448589917864,3.324840930585716,1.2254750759730224,1.77476866223551,1.0383652204594565,1.8232146713242687,2.4657820044153067,1.8992922226160927,1.7707649153694363,,unknown
No,84.99174008537062,86.20284289921359,88.79439692532323,87.29938483533664,89.06694558550461,88.22172334726751,89.67228024575438,88.32372874258593,89.08433893501164,,unknown
Unweighted base - number of adults,1776,1783,764,1505,1216,1134,1316,1183,1269,,unknown
"Respondent satisfaction with handling of complaint2,5",,,,,,,,,,,unknown
Very satisfied,11.897092501841898,12.218675890162494,12.118444156502616,12.383798171906061,9.64606534612714,5.987829951628609,5.136918921912369,6.926572296746198,5.443249248218683,,unknown
Fairly satisfied,13.569683376975169,12.436073372368025,9.791759565224263,15.447309625625516,18.16463408737587,9.591172597036064,14.968768383502558,16.111838844746426,16.55876800753757,,unknown
A bit dissatisified,17.832215859894944,15.811980004232861,15.879790343157039,12.932742148420878,11.417280285442242,14.32658322398984,21.917987312453032,17.45640296041527,16.814099056616346,,unknown
