"table s22: awareness and use of the 101 non-emergency police number, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,Adults aged 16 and over,unknown
Household characteristic1,Were aware of the 101 non-emergency police number2,Had used the 101 non-emergency police number2,Unweighted base - number of adults,unknown
,Percentage,,,unknown
ALL ADULTS,76.02106755987904,13.38793080001861,8777,unknown
Structure of household,,,,unknown
Single adult and child(ren),77.61598664922845,23.417982887646676,424,unknown
Adults and child(ren),76.79241521973607,16.527619436234865,1820,unknown
Adult(s) and no children,75.67877796928546,11.859738405998032,6533,unknown
Total Household Income,,,,unknown
"Less than £10,400",70.29028911,9.123216902,779,unknown
"£10,400 to less than £20,800",73.30768874,13.12711165,1534,unknown
"£20,800 to less than £31,200",78.11857273,15.27945634,1306,unknown
"£31,200 to less than £41,600",80.16344578,15.35234268,1007,unknown
"£41,600 to less than £52,000",80.75048531,14.48197371,816,unknown
"52,000 or more",82.03878906,17.37648536,1623,unknown
No income stated of not enough information provided,-,-,48,unknown
Tenure,,,,unknown
Owners,79.02072111379613,13.01962274416398,5729,unknown
Social renters,74.43763345347298,15.861614458316756,1447,unknown
Private renters,68.86569370462115,12.821225219483246,1539,unknown
Accommodation type ,,,,unknown
Houses,77.3480609997682,13.7005340176142,7442,unknown
Detached,79.56837938227837,12.216648664878338,2173,unknown
Semi-detached,77.77956040350189,13.527397129556206,2771,unknown
Terraced,75.03663512760508,15.122046923365046,2498,unknown
Flats/maisonettes,67.63245540987171,11.751724049934174,1287,unknown
Other accommodation,-,-,24,unknown
Output Area Classification,,,,unknown
Rural residents,79.98220383313345,12.805372199738185,1115,unknown
Cosmopolitans,69.76566716176612,10.031231010489638,308,unknown
Ethnicity central,64.56503345589508,11.884829169903695,435,unknown
Multicultural metropolitans,64.47006631450466,12.403211110876173,1034,unknown
Urbanites,77.57921533641974,12.471548778217995,1635,unknown
Suburbanites,81.59677437329755,13.730097731003573,1963,unknown
Constrained city dwellers,77.29095051935082,16.3151975928146,618,unknown
Hard-pressed living,79.71364893662434,15.445939625619697,1669,unknown
Area type,,,,unknown
Urban,74.69401636373608,13.307903663530588,6913,unknown
Rural,81.95038334383406,13.745495123763101,1864,unknown
Level of physical disorder,,,,unknown
High,69.13727444427889,10.927850766781182,428,unknown
Not high,76.40794680414699,13.512122352614936,8327,unknown
English Indices of Deprivation (Employment),,,,unknown
20% most deprived Output Areas,71.74709238469944,14.601220994506589,1527,unknown
Other Output Areas,76.22996372330162,13.377110632278292,4993,unknown
20% least deprived Output Areas,78.09194284589096,11.929139984407872,1633,unknown
Welsh Indices of Deprivation (Employment),,,,unknown
20% most deprived Output Areas,77.94680187549386,12.334616028199637,116,unknown
Other Output Areas,82.46078682078459,17.726509844508442,391,unknown
20% least deprived Output Areas,80.36564253036046,9.021797465801365,117,unknown
English regions and Wales,,,,unknown
North East,75.05848597284714,13.771747877199193,547,unknown
North West,77.7778208535431,13.6842581240431,1133,unknown
Yorkshire and The Humber,81.61379079682857,14.873094894996768,783,unknown
East Midlands,80.39979196202921,14.779896933070258,790,unknown
West Midlands,77.58240811595573,11.788502375142306,785,unknown
East,74.35825226485154,15.087258825605357,965,unknown
London,63.53823931794788,10.615551969228811,1027,unknown
South East,76.16029693730859,12.485727317252579,1221,unknown
South West,82.11340228660397,15.243222916552623,902,unknown
Wales,81.03471590093547,14.734084327332106,624,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,,unknown
2. The relevant questions relating to awareness and use of the 101 non-emergency police number are only asked of one quarter of the CSEW sample. ,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,unknown
