"table s6: perceptions of the local police, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
England and Wales,,,,,,,,Adults aged 16 and over/households
Household characteristic1,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,
East Midlands,56.79694043145918,87.1329726333916,67.37256496556778,65.76291058815576,51.399029925349616,78.96697783904767,72.56114694064745,2968
West Midlands,53.25887516769884,86.14944056786553,64.4403176451212,61.77997641022214,48.31659860855536,77.56413506560314,68.64105930048585,3009
East,55.97824745329191,88.45710362629615,67.49813645865872,64.38516739728361,51.88604030733427,80.671678630399,74.82813620711089,3773
London,66.30228942956906,85.98701762929686,63.28023494359113,64.98916317412309,55.704988829267464,79.73210813977038,74.1477313309955,3877
South East,58.57313975648146,87.26352604702416,67.85129127734444,64.82160946403297,51.65968011422911,81.00227735681258,75.77719496104181,4579
South West,56.400030177912654,89.50683052848785,67.75118436124316,67.60571148480209,53.839204136160305,84.80129134071282,78.34962596800058,3386
Wales,56.809919590455706,87.90979388574112,65.36018825815849,68.17192535519474,53.27106846433761,79.9298171832021,71.64005074701768,2468
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,,,,,,
2. Unweighted base refers to overall confidence in the local police. Other bases will be similar.,,,,,,,,
