Offence group,"Apr 2009 to Mar 2010 
[note 6]","Apr 2010 to Mar 2011 
[note 6]",Apr 2011 to Mar 2012,"Apr 2012 to Mar 2013 
[note 7]",Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2025,,Offence group,Apr 2009 to Mar 2010,Apr 2009 to Mar 2010 Significance,Apr 2010 to Mar 2011,Apr 2010 to Mar 2011 Significance,Apr 2011 to Mar 2012,Apr 2011 to Mar 2012 Significance,Apr 2012 to Mar 2013,Apr 2012 to Mar 2013 Significance,Apr 2013 to Mar 2014,Apr 2013 to Mar 2014 Significance,Apr 2014 to Mar 2015,Apr 2014 to Mar 2015 Significance,Apr 2015 to Mar 2016,Apr 2015 to Mar 2016 Significance,Apr 2016 to Mar 2017,Apr 2016 to Mar 2017 Significance,Apr 2017 to Mar 2018,Apr 2017 to Mar 2018 Significance,Apr 2018 to Mar 2019,Apr 2018 to Mar 2019 Significance,Apr 2019 to Mar 2020,Apr 2019 to Mar 2020 Significance,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 Significance,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 Significance,unknown
Assault with minor injury,3.696798815693258,3.6792256928502165,3.588510089988619,2.9178824728665504,3.3019436628239043,2.8297690997174434,3.2730428530570923,3.499617552296164,2.8167890573352747,2.781295002279607,1.573234244465949,2.5347983610314007,2.909027740669948,3.0879994743900054,,Assault with minor injury,-0.6087993413032526,,-0.5912262184602111,,-0.5005106155986137,,0.170117001523455,,-0.21394418843389884,,0.25823037467256205,,-0.18504337866708687,,-0.4116180779061587,,0.2712104170547307,,0.30670447211039864,,1.5147652299240564,[s],0.5532011133586048,,0.17897173372005737,,unknown
Violence without injury,2.426091884074871,1.6766191446108674,2.152834069253332,1.4751511493958742,1.6936999710569074,1.584100507560954,1.5369280723540077,1.0962022113296417,0.7709674926741038,1.4594636840671367,0.35052272971470866,2.0903423428266583,2.299478673001599,2.034784431733075,,Violence without injury,-0.39130745234179587,,0.35816528712220785,,-0.11804963752025666,,0.559633282337201,,0.3410844606761678,,0.4506839241721212,,0.49785635937906747,,0.9385822204034335,,1.2638169390589713,[s],0.5753207476659385,,1.6842617020183666,[s],-0.0555579110935831,,-0.2646942412685238,,unknown
ROBBERY,1.3418813643420067,0.8899062768593895,1.3037080418794151,1.0079808358639273,0.7369191860396098,0.7160057944875883,0.661707576950891,0.6149971315643763,0.5718211405955862,0.4228461541325679,0.4348554102203432,0.8820978007991036,0.32962110417472273,0.1334785836250334,,ROBBERY,-1.2084027807169733,[s],-0.7564276932343561,[s],-1.1702294582543817,[s],-0.8745022522388939,[s],-0.6034406024145764,[s],-0.5825272108625549,[s],-0.5282289933258576,[s],-0.4815185479393429,[s],-0.4383425569705528,[s],-0.2893675705075345,[s],-0.3013768265953098,,-0.7486192171740702,[s],-0.19614252054968934,,unknown
PERSONAL THEFT,7.376440614650872,5.3909983456683115,8.071004080012347,6.4767274477978605,6.162333711545803,5.933119993584525,5.817472030345885,5.219840615010189,4.888374663725793,4.306349449656002,3.227320747869527,4.403076424810663,4.938301234795267,5.769462554517082,,PERSONAL THEFT,-1.6069780601337902,,0.3784642088487704,,-2.3015415254952654,[s],-0.7072648932807786,,-0.3928711570287211,,-0.16365743906744346,,-0.04800947582880344,,0.5496219395068929,,0.8810878907912887,,1.4631131048610797,,2.542141806647555,[s],1.3663861297064193,,0.8311613197218151,,unknown
Theft from the person,0.9143473728474084,0.6821464937886556,1.215181874698676,0.9286054185428783,0.740413747576066,1.148836726835957,1.2034581380439568,0.766098549985725,0.8028467104524838,0.5361638589153394,0.505064962351909,0.7604087445395213,1.047051788004244,1.0545459905573775,,Theft from the person,0.1401986177099691,,0.37239949676872197,,-0.16063588414129848,,0.12594057201449926,,0.3141322429813115,,-0.09429073627857942,,-0.14891214748657933,,0.2884474405716525,,0.25169928010489373,,0.5183821316420382,,0.5494810282054685,,0.2941372460178562,,0.007494202553133489,,unknown
Snatch theft from person,0.28819010033511044,0.3368603318566976,0.5882697003796181,0.27168000721869917,0.4962636264818069,0.3831351658536136,0.41417036266392165,0.40883010956354543,0.33296479693229847,0.13198960350661973,0.331547520585769,0.6626242584926816,0.38483232983841553,0.5007067654325846,,Snatch theft from person,0.2125166650974742,,0.16384643357588702,,-0.08756293494703349,,0.22902675821388546,,0.0044431389507777475,,0.11757159957897101,,0.08653640276866298,,0.0918766558690392,,0.16774196850028616,,0.36871716192596493,,0.16915924484681566,,-0.16191749306009695,,0.1158744355941691,,unknown
Stealth theft from person,0.635723582444646,0.34528616193195777,0.6726068405447386,0.656925411324179,0.24415012109425924,0.7657015609823434,0.7892877753800354,0.35726844042217937,0.4698819135201854,0.40417425540871965,0.17351744176614006,0.12807218378780008,0.7448245288770599,0.562358265972231,,Stealth theft from person,-0.07336531647241495,,0.21707210404027327,,-0.11024857457250758,,-0.09456714535194799,,0.3182081448779718,,-0.2033432950101124,,-0.22692950940780432,,0.20508982555005167,,0.09247635245204566,,0.1581840105635114,,0.388840824206091,,0.434286082184431,,-0.1824662629048288,,unknown
Other theft of personal property,4.4082214673507,3.0979266206814398,4.936090880010085,4.43324284620045,4.3937713714857,3.8482561840516887,3.995643844937572,3.4324290108046926,3.4128923336396033,2.3358252074631447,2.335319940387789,3.206584012765651,3.288359078450596,4.549812330350218,,Other theft of personal property,0.14159086299951795,,1.4518857096687778,,-0.38627854965986774,,0.11656948414976753,,0.15604095886451752,,0.7015561462985289,,0.5541684854126454,,1.117383319545525,,1.1369199967106143,,2.213987122887073,[s],2.2144923899624285,[s],1.3432283175845665,,1.2614532518996215,,unknown
Theft from the dwelling/outside the dwelling [note 8],0.46897456330178433,0.50739144704955,0.7434057664227753,0.48682929926809426,0.3806863873423857,0.6056673288995587,0.38660201371595,0.382894250402309,0.43894276189104936,0.5031568392906304,0.2080744387527637,0.4217257555474425,0.5243429552107786,0.08755919562640914,,Theft from the dwelling/outside the dwelling [note 8],-0.3814153676753752,[s],-0.41983225142314085,[s],-0.6558465707963662,[s],-0.39927010364168514,[s],-0.29312719171597656,,-0.5181081332731495,[s],-0.29904281808954086,[s],-0.2953350547758999,[s],-0.35138356626464023,[s],-0.41559764366422125,[s],-0.12051524312635457,,-0.3341665599210334,,-0.43678375958436944,[s],unknown
Bicycle theft [note 8],1.6409238373718,1.2108654842216897,1.5265670021721416,0.788060883077782,0.7034036308864716,0.5314560954965746,0.38595490965518375,0.6580521104205552,0.42557074690750313,1.0597038330855935,0.2069034856153635,0.12402130745685525,0.24019569037024507,0.20904839799401057,,Bicycle theft [note 8],-1.4318754393777895,[s],-1.0018170862276792,[s],-1.317518604178131,[s],-0.5790124850837715,[s],-0.4943552328924611,[s],-0.32240769750256404,,-0.1769065116611732,,-0.4490037124265447,[s],-0.21652234891349256,,-0.8506554350915829,[s],0.002144912378647057,,0.08502709053715532,,-0.03114729237623451,,unknown
