"table s5:  perceptions of the local police by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted  base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
Never worked and long-term unemployed,67.81286733978956,83.09601839948047,70.25421427172519,68.97831367064077,63.560613545923815,76.99993625947153,75.36585174177056,1303,unknown
Full-time students,72.82812634290893,86.54520465270474,69.03518401884914,72.19194031459013,64.10875797571889,83.48217371405767,82.08084952033515,1129,unknown
Not classified,66.46067019555953,81.26864255691862,68.24747902681393,73.57280918211903,63.013530132586425,73.61118773504454,71.49902134218698,313,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,unknown
2. Unweighted base refers to overall confidence in the local police. Other bases will be similar.,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,unknown
"Table S5: Perceptions of the local police by personal characteristics, year ending March 2017 CSEW1 (continued)",,,,,,,,,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
Highest qualification,,,,,,,,,unknown
Degree or diploma,61.932790116133695,87.94048255048467,66.84534712617611,71.0541118720999,60.37553235925242,81.81708988631863,80.7553398145904,13852,unknown
Apprenticeship or A/AS level,60.16633500248285,86.90030254141834,67.85722005739568,69.35908289819885,58.456630311172674,78.9192142360287,76.79813929215078,5971,unknown
O level/GCSE,58.113794080844116,85.25254257293773,66.30497105545187,68.35248948324666,58.120600299474255,77.2917046818968,75.82234590551727,6303,unknown
Other,61.960839147116275,83.2589671211289,68.67694568147387,69.84199194213039,61.38118460045724,78.12963382213395,75.80697025357718,1427,unknown
,64.32708826751606,87.68213722898295,71.80904653735803,72.0842422242583,65.94439058566462,79.91473223538196,77.74829450015415,7120,unknown
Long-standing illness or disability ,,,,,,,,,unknown
Long-standing illness or disability ,55.62853375229546,84.87392025923987,64.32644770240525,67.36011309414603,57.72483329152238,76.37645805822841,73.61424371975615,8388,unknown
Limits activities,55.15948382757719,83.91043019856099,64.06165488900443,66.62014239135709,56.95517000630749,75.0993700594718,72.33816864969562,6621,unknown
Does not limit activities,57.417322523413496,88.39596785782757,65.30104004229516,70.10591980507945,60.43401700022159,80.72683543561233,78.1105292659205,1761,unknown
No long-standing illness or disability ,62.83325470855351,87.59161642458525,68.86890830353052,71.18325639492332,61.464418753638974,80.87194046411781,79.60888386498955,26300,unknown
Internet usage3,,,,,,,,,unknown
Used in last 12 months,60.798004583492215,86.68046057266407,67.23906453050259,69.89334758035042,59.5997009215573,79.64707203630138,78.03054541971152,29165,unknown
Not used in last 12 months,64.88154200173922,89.05171519707254,72.33903501298296,73.42170490171426,67.818174862202,81.86279691326344,80.36484147323576,5599,unknown
Overall level of perceived ASB3,,,,,,,,,unknown
High,44.53052009863468,75.66152124627033,53.29512137268234,57.38316529519443,43.39553991085297,63.8828334354833,59.6808402595675,721,unknown
Not high,61.895919098087816,87.89237279690062,66.87663480474552,72.45072984772433,62.261377051356156,81.01894623728776,80.30463406942619,7883,unknown
Experience of crime in last 12 months4,,,,,,,,,unknown
Victim,56.81959040693506,84.65720134037042,65.2593315626224,67.08559548847802,53.96662754760766,75.17226329589269,70.22964234316005,4575,unknown
Not a victim,62.0619394793437,87.36635725614697,68.31366838249792,70.87344405851475,61.7410756101746,80.71044734571602,79.6520720585741,30192,unknown
"3. The relevant questions relating to internet usage, overall level of perceived anti-social behaviour, and awareness of neighbourhood policing, are only asked of one quarter of the CSEW sample.",,,,,,,,,unknown
4. The 'Experience of Crime' variable covers the victimisation of all types of crime excluding fraud and computer misuse. Fraud and computer misuse estimates are currently Experimental statistics and these questions were only asked of half the sample for the year ending March 2017.,,,,,,,,,unknown
