"table s41a: prevalence of domestic abuse, sexual assault and stalking in the last year among adults aged 16 to 74, by type and sex, year ending march 2018 to year ending march 2020 csew1,2,3",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,age_band
England and Wales,,,,,,,,,,,Adults aged 16 to 743,unknown
,Men,,,,,,Women,,,,,unknown
,"Apr '17 to 
Mar '184,5","Apr '18 to 
Mar '194","Apr '19 to 
Mar '20","Apr '19 to Mar '20 
compared with",,,"Apr '17 to 
Mar '184,5","Apr '18 to 
Mar '194","Apr '19 to 
Mar '20","Apr '19 to Mar '20 
compared with",,unknown
,,,,"Apr '17 to 
Mar '18","Apr '18 to 
Mar '19",,,,,"Apr '17 to 
Mar '18","Apr '18 to 
Mar '19",unknown
,"Percentage who were victims 
once or more",,,Statistically significant difference6,,,"Percentage who were victims
once or more",,,Statistically significant difference6,,unknown
Stalking,2.370486653492589,2.4646579162759306,2.5053121501517217,,,,4.602545431634463,4.473566024354888,4.579312452021263,,,unknown
Stalking by a partner,0.43244609024621816,0.5301505826964433,0.5085141373340757,,,,1.133734536301356,1.3109732698574317,0.9690093356579843,,*,unknown
Stalking by a family member,0.30143591298848843,0.14370168541351666,0.268548208331427,,,,0.5376748338462484,0.457604369557277,0.44290452367354605,,,unknown
"Unweighted base - number of adults4,9",6387,6005,11313,,,,7164,7183,13199,,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,unknown
"1. Chapter 5 of the User Guide provides definitions of domestic abuse, sexual assault and stalking.",,,,,,,,,,,,unknown
"2. The sum of the overarching domestic abuse, sexual assault and stalking categories are not the sum of the sub-categories as some victims may be included in multiple categories as they can experience more than one type of abuse.",,,,,,,,,,,,unknown
"3. From April 2017, the upper age limit for the self-completion module was increased to ask all respondents aged 16 to 74.",,,,,,,,,,,,unknown
4. The sample size is lower for the years ending March 2018 and March 2019 due to use of a split-sample experiment. ,,,,,,,,,,,,unknown
"5. A small change to the weighting procedure was made in 2019. This change is being applied going forward and was incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table and therefore historic data have not been re-calculated using the new weights, except where direct comparisons were previously made to estimates. Years that have been re-calculated using the new weighting procedure are denoted by a 5.",,,,,,,,,,,,unknown
"6. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide.",,,,,,,,,,,,unknown
"7. The offence category 'Causing sexual activity without consent' was added to the total category of any sexual assault (including attempts) for the year ending March 2016 to the year ending March 2019. This category is not directly comparable with 22A 'Causing sexual activity without consent' offence category in Home Office Counting Rules (HOCR) as offence 22A has a wider definition than is covered in the CSEW. Questions on the offence category 'Causing sexual activity without consent' were removed the CSEW in the year ending March 2020,  therefore the total category of any sexual assault (including attempts) no longer includes this offence category.",,,,,,,,,,,,unknown
8. The category 'Causing sexual activity without consent' cannot be disaggregated by perpetrator as this was not asked of the respondent.,,,,,,,,,,,,unknown
9. The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,,,,,,unknown
:   Denotes 'not applicable'.,,,,,,,,,,,,unknown
¬  Denotes where significance testing was not conducted due to one of the estimates being a 0. ,,,,,,,,,,,,unknown
