"table s22: awareness and use of the 101 non-emergency police number, by household and area characteristics, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,Adults aged 16 and over,unknown
Household characteristic1,Were aware of the 101 non-emergency police number2,Had used the 101 non-emergency police number2,Unweighted base - number of adults,unknown
,Percentage,,,unknown
ALL ADULTS,75.12378211677978,13.091062008022758,8763,unknown
Structure of household,,,,unknown
Single adult and child(ren),82.4218148553549,23.473567767567513,420,unknown
Adults and child(ren),76.82277635477459,15.785507546257374,1883,unknown
Adult(s) and no children,74.23714127691066,11.728070662207422,6460,unknown
Tenure,,,,unknown
Owners,77.80012173072889,12.690017761057618,5592,unknown
Social renters,71.72251258701002,16.442103600908997,1500,unknown
Private renters,70.74438410571776,12.025548147403459,1622,unknown
Accommodation type ,,,,unknown
Houses,76.83095835083539,13.287451546555287,7466,unknown
Detached,78.8519692526205,12.793661239723017,2217,unknown
Semi-detached,77.4489768464077,13.368405657248353,2700,unknown
Terraced,74.4924214787688,13.618564815389597,2549,unknown
Flats/maisonettes,64.3618546171338,12.06339249369667,1253,unknown
Other accommodation,-,-,19,unknown
Output Area Classification,,,,unknown
Rural residents,78.38476716225446,11.50298912826694,1220,unknown
Cosmopolitans,70.18475521670034,11.299623272608711,324,unknown
Ethnicity central,57.20844725200577,10.310459406182531,432,unknown
Multicultural metropolitans,66.51332371927501,12.165121935858025,1019,unknown
Urbanites,77.13900311252604,13.191865860821911,1603,unknown
Suburbanites,79.16188559582004,11.968506881066894,1844,unknown
Constrained city dwellers,72.96486183042444,14.199276705378914,589,unknown
Hard-pressed living,80.40211351452263,16.958357822031726,1732,unknown
Area type,,,,unknown
Urban,74.14063688310412,13.22730006964953,6825,unknown
Rural,79.14362480827499,12.534017577988452,1938,unknown
Level of physical disorder,,,,unknown
High,64.74231585988093,12.536735957681014,412,unknown
Not high,75.67504778486436,13.076393447504236,8321,unknown
English Indices of Deprivation (Employment),,,,unknown
20% most deprived Output Areas,72.41536393533214,14.1624534092891,1553,unknown
Other Output Areas,75.24959884230688,12.806881802007217,4956,unknown
20% least deprived Output Areas,75.68806998277256,12.178355327661341,1606,unknown
Welsh Indices of Deprivation (Employment),,,,unknown
20% most deprived Output Areas,75.27497329863029,20.367404833365015,129,unknown
Other Output Areas,82.47442251509412,17.085970781714046,385,unknown
20% least deprived Output Areas,80.94327251004047,6.683960412227613,134,unknown
English regions and Wales,,,,unknown
North East,80.30726563629776,12.754930736949532,505,unknown
North West,76.12632275231421,12.463113421212693,1114,unknown
Yorkshire and The Humber,80.48172888935045,14.239809264397707,808,unknown
East Midlands,76.51804765272391,15.037143149861343,790,unknown
West Midlands,75.1130008475175,11.29780680788988,776,unknown
East of England,72.96157891835733,13.350316532154071,1011,unknown
London,61.69383789371787,10.642588585655135,1043,unknown
South East,78.16682152166753,14.479287699764743,1163,unknown
South West,79.35829235738893,12.521771364020665,905,unknown
Wales,80.58786163308555,15.79770028996926,648,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,,unknown
2. The relevant questions relating to awareness and use of the 101 non-emergency police number are only asked of one quarter of the CSEW sample. ,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,unknown
