"table s34: worry about crime by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,unknown
,Percentage with high levels of worry,,,,unknown
ALL ADULTS,10.210727497417677,7.037160612738027,10.946604874373692,8722,unknown
Structure of household,,,,,unknown
Single adult and child(ren),14.08807745208343,8.710016124206739,17.8668284952202,482,unknown
Adults and child(ren),11.244863848369754,8.871048832150414,11.565177039371457,1888,unknown
Adult(s) and no child(ren),9.66483059271432,6.216314284606172,10.42656328551158,6352,unknown
Total household income,,,,,unknown
"Less than £10,000",17.94205335142211,14.340400581299543,19.44045785972835,848,unknown
"£10,000 to less than £20,000",13.537562044262504,8.86553107107518,14.32920489379197,1743,unknown
"£20,000 to less than £30,000",9.045343910888604,8.698661903034546,10.20872792421926,1302,unknown
"£30,000 to less than £40,000",9.997899051708176,7.098727598493934,10.989802436792258,992,unknown
"£40,000 to less than £50,000",6.856288526919109,6.525044743567117,6.75412419573711,745,unknown
"£50,000 or more",6.496018440749355,4.0614712369977175,6.79807842201042,1618,unknown
No income stated or not enough information provided,11.23383598130456,7.628584879781466,12.187712731687132,1473,unknown
Tenure,,,,,unknown
Owner occupiers,9.246395440788085,6.156578440612267,9.36921764202526,5548,unknown
Social renters,15.246243160727909,13.271392131210494,17.67207322920244,1483,unknown
Private renters,8.935190925020752,7.246931093219498,10.565108722606364,1633,unknown
Accommodation type ,,,,,unknown
Houses,10.102635751776855,6.858984431045105,10.571929332560979,7375,unknown
Detached,7.526173263953242,4.3484917392923625,7.339014955532637,2171,unknown
Semi-detached,10.162820863192703,7.742773620463446,10.74769104425316,2684,unknown
Terraced,12.081440377598526,8.452735858878285,12.95619459846038,2520,unknown
Flats/maisonettes,10.734022553142719,9.141654912531088,13.158025517713135,1300,unknown
Other,-,-,-,25,unknown
Output Area Classification,,,,,unknown
Rural residents,6.702119698458536,3.817578621745738,4.821350728068491,1088,unknown
Cosmopolitans,4.330322511734257,3.956606994402776,9.30085993392429,331,unknown
Ethnicity central,15.643077469278547,13.437707351125,18.848189594588764,453,unknown
Multicultural metropolitans,17.578543022201835,11.361099351230672,17.96298173059435,1022,unknown
Urbanites,7.212585463934134,6.36445100058778,8.038418665786464,1624,unknown
Suburbanites,8.370863839724498,5.024353217654644,8.220961148050028,1899,unknown
Constrained city dwellers,11.517755421980445,9.47725254627235,14.713696262928796,633,unknown
Hard-pressed living,10.84197280504427,8.454640466834597,11.496576278716292,1672,unknown
Area type,,,,,unknown
Urban,10.925509887780063,7.818820819248656,11.852832269031083,6904,unknown
Rural,6.805177001747227,4.230460776703817,6.588499682749757,1818,unknown
Level of physical disorder,,,,,unknown
High,16.709427450524476,12.791985786185379,20.719695810199397,490,unknown
Not high,9.78993008128449,6.813261918334843,10.290950922268676,8170,unknown
Employment deprivation index,,,,,unknown
20% most deprived output areas,14.810917428770292,11.403614369349398,17.565943443710623,1540,unknown
Other output areas,9.769067706546611,7.0716162391804716,10.565514023426132,4923,unknown
20% least deprived output areas,6.9641230121850795,4.342051958465539,6.775074564397952,1608,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
"2. Unweighted base refers to worry about burglary. Bases for violent crime will be similar but for car crime will be slightly lower as this is based only on those residing in households owning, or with use of a vehicle.",,,,,unknown
