"table s14:  percentage of incidents in which victims were satisfied with the police by crime type, year ending march 2018 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,"Unweighted base
 - number of incidents",unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Violence,65.39892835044081,250,unknown
With injury,64.45238776093795,140,unknown
Without injury ,66.4972790534519,110,unknown
Theft offences,69.2316537532208,1458,unknown
Theft from the person,77.00679172056921,88,unknown
Other theft of personal property,68.12630749920012,125,unknown
Domestic burglary,74.88988233864599,499,unknown
Other household theft,61.41232546693263,124,unknown
Vehicle-related theft,65.32325179036815,463,unknown
Bicycle theft,63.85761018559788,159,unknown
Criminal damage,61.19348995361494,386,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
