"worksheet a15: trends in csew victims of crime for children aged 10 to 15, from year ending march 2010 to year ending march 2025, with percentage change and statistical significance of change [notes 1, 2, 3, 4, 5]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,unnamed: 30,unnamed: 31,unnamed: 32,unnamed: 33,unnamed: 34,unnamed: 35,unnamed: 36,unnamed: 37,unnamed: 38,unnamed: 39,unnamed: 40,unnamed: 41,unnamed: 42,age_band
Wounding,73,43,37,40,41,32,54,42,41,50,31,45,28,66,,Wounding,-10.453489886114292,,51.49961887996712,,76.0051082999086,,64.61986392319756,,59.68651801538306,,106.282830277616,,21.399002392004583,,56.29362256811695,,61.36502916850021,,31.86886641050109,,113.87902443008406,,45.419514994572644,,130.42590299218173,[s],unknown
Assault with minor injury,147,145,140,112,124,107,123,133,109,111,64,112,131,139,,Assault with minor injury,-5.15614898554654,,-3.894284888319613,,-0.5127844675729502,,24.517441422578067,,12.001195931714987,,30.491665552624138,,12.779520493541668,,4.385438935472333,,27.266077187322647,,25.372384210657543,,115.94393901079663,[s],24.016663310324805,,6.6386834089242415,,unknown
Violence without injury,96,66,84,57,64,60,58,42,30,58,14,93,103,92,,Violence without injury,-4.771062359393154,,38.96723338168587,,9.272801716057332,,62.29406938642469,,43.87887304223184,,53.60035857810187,,58.25942389801051,,119.58922320184115,[s],206.38824880622272,[s],57.43338590475729,,538.6448485516997,[s],-0.906029389938956,,-11.10559248610352,,unknown
ROBBERY,53,35,51,39,28,27,25,23,22,17,18,39,15,6,,ROBBERY,-88.70580592270048,[s],-82.82503954525565,[s],-88.16316823752254,[s],-84.41954701416444,[s],-78.30763879933384,[s],-77.70786783955427,[s],-75.88705811460328,[s],-74.3243297473556,[s],-72.90175611881182,[s],-64.35481055252042,,-66.23055646034304,,-84.59573104913338,[s],-59.31990118002651,,unknown
PERSONAL THEFT,293,212,315,248,232,224,219,199,190,172,132,195,222,260,,PERSONAL THEFT,-11.193186587653397,,22.544715147720723,,-17.355868127923728,,4.809464785530347,,12.125720629349674,,16.281006901023634,,18.551150366158524,,30.755933864734526,,37.01264154687342,,51.28567689550187,[s],96.67557176205584,[s],33.39064657052645,,17.36624235909309,,unknown
Theft from the person,36,27,47,36,28,43,45,29,31,21,21,34,47,48,,Theft from the person,30.951983721048677,,77.01753947441948,,0.32945926793000835,,33.61495726507179,,70.57137577259134,,9.764971854086012,,4.746435808483305,,62.84115517031754,,52.48343173972777,,122.09547546585505,,129.70765895223718,,41.17723264312801,,1.1772291401658486,,unknown
Snatch theft from person,11,13,23,10,19,14,16,16,13,5,14,29,17,23,,Snatch theft from person,97.27051555813651,,70.20096322370836,,-1.5963496104429462,,116.84356827905589,,20.83315523788952,,56.27445778805438,,44.513745998504426,,44.88515052235662,,74.57212754369257,,328.3664585500409,,66.14790420032085,,-23.0759094202547,,30.706543186696898,,unknown
Stealth theft from person,25,14,26,25,9,29,30,14,18,16,7,6,33,25,,Stealth theft from person,0.43903682346448397,,86.49291439376387,,-3.337942933707213,,0.720480103924581,,175.8488898669186,,-12.176628153705689,,-14.830828192945281,,86.20945071455226,,38.93578504590458,,57.11446062250555,,256.5554995287538,,346.9968993236121,,-24.151930408359195,,unknown
Other theft of personal property,175,122,192,170,165,145,151,131,133,93,96,142,148,205,,Other theft of personal property,17.189272024288176,,68.17087465893283,[s],6.5649943311521515,,20.75155362244632,,24.014118311461207,,41.379377109775,,36.116706008575505,,56.810525220928035,[s],54.76069110056312,[s],119.9504551719882,[s],114.34052400627863,[s],44.4432004839896,,38.99515680094444,,unknown
Theft from the dwelling/outside the dwelling [note 8],19,20,29,19,14,23,15,15,17,20,9,19,24,4,,Theft from the dwelling/outside the dwelling [note 8],-78.801249968899,[s],-80.23999513183354,[s],-86.38304295124247,[s],-78.83853058026669,[s],-72.45457248778524,,-82.71281927380078,[s],-72.92662686915715,,-72.94757458675191,,-76.84292852167319,[s],-80.34965835607557,[s],-53.70434598424576,,-78.86423942891474,,-83.22464400323845,[s],unknown
Bicycle theft [note 8],65,48,60,30,26,20,15,25,17,42,8,5,11,9,,Bicycle theft [note 8],-85.53507460436565,[s],-80.23124267515749,[s],-84.16802107549033,[s],-68.7889888690705,[s],-64.40759459996289,,-52.963390669701184,,-35.25369461363274,,-62.41886886682032,,-42.97505945864848,,-77.72416147262534,[s],11.156849472834935,,71.59189900998466,,-12.568676561834918,,unknown
CRIMINAL DAMAGE TO PERSONAL PROPERTY [note 8],30,16,30,30,32,49,67,30,45,52,40,26,36,45,,CRIMINAL DAMAGE TO PERSONAL PROPERTY [note 8],53.40303719121929,,180.49902662797805,,49.16843904828791,,51.60031430649289,,39.63590022662457,,-6.816822227780173,,-32.690704152820835,,51.42496255398079,,1.352623570087477,,-12.745224795917881,,12.144273225216267,,75.3724389192864,,25.46449252607906,,unknown
ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,581,457,589,466,456,445,483,421,391,420,269,434,459,535,,ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,-7.914240899582414,,17.05690212493659,,-9.295522129358446,,14.622453285478773,,17.124807549339273,,20.063162079311265,,10.718613167695079,,27.101485679454417,[s],36.83457200976608,[s],27.37190623054806,[s],99.0188697424289,[s],23.097881125255498,,16.45569422260877,,unknown
Unweighted base - number of children aged 10 to 15,3762,3849,3930,2879,2933,2374,2804,3062,3008,2850,2398,1309,1528,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Table A15c:  Trends in CSEW victims of crime for children aged 10 to 15 (1,000s) - broad measure, from year ending March 2010 to year ending March 2025",,,,,,,,,,,,,,,,"Table A15d:  Trends in CSEW victims of crime for children aged 10 to 15 - broad measure, from year ending March 2010 to year ending March 2025, with percentage change and statistical significance of change",,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Offence group,"Apr 2009 to Mar 2010
 [note 6]","Apr 2010 to Mar 2011
 [note 6]",Apr 2011 to Mar 2012,"Apr 2012 to Mar 2013 
[note 7]",Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2025,,Offence group,Apr 2009 to Mar 2010,Apr 2009 to Mar 2010 Significance,Apr 2010 to Mar 2011,Apr 2010 to Mar 2011 Significance,Apr 2011 to Mar 2012,Apr 2011 to Mar 2012 Significance,Apr 2012 to Mar 2013,Apr 2012 to Mar 2013 Significance,Apr 2013 to Mar 2014,Apr 2013 to Mar 2014 Significance,Apr 2014 to Mar 2015,Apr 2014 to Mar 2015 Significance,Apr 2015 to Mar 2016,Apr 2015 to Mar 2016 Significance,Apr 2016 to Mar 2017,Apr 2016 to Mar 2017 Significance,Apr 2017 to Mar 2018,Apr 2017 to Mar 2018 Significance,Apr 2018 to Mar 2019,Apr 2018 to Mar 2019 Significance,Apr 2019 to Mar 2020,Apr 2019 to Mar 2020 Significance,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 Significance,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 Significance,unknown
VIOLENCE [note 9],676,452,461,413,371,380,408,386,362,414,280,366,342,379,,VIOLENCE [note 9],-43.98311463427781,[s],-16.28042420018368,,-17.836931775064997,,-8.418204418737506,,2.161934108817873,,-0.3148359298217023,,-7.12727559116458,,-2.0189880251976517,,4.451660868847954,,-8.629617865695092,,35.035617537075446,[s],3.297171829882172,,10.69995376041778,,unknown
Violence with injury,262,216,208,177,197,177,199,189,178,188,133,189,175,215,,Violence with injury,-18.19349912928269,,-0.5414759106067678,,3.2252507963406387,,21.562698885288864,,8.832290664168116,,21.541723857977082,,7.721886363181829,,13.688985540326732,,20.36228743622862,,14.328741953635197,,61.75924484243333,[s],13.358687118668241,,22.91723620387572,,unknown
Wounding,76,43,37,40,41,32,54,42,41,50,31,45,28,66,,Wounding,-13.291744104292274,,51.49961887996712,,76.0051082999086,,64.61986392319756,,59.68651801538306,,106.282830277616,,21.399002392004583,,56.29362256811695,,61.36502916850021,,31.86886641050109,,113.87902443008406,,45.419514994572644,,130.42590299218173,[s],unknown
Assault with minor injury,200,175,173,140,160,149,152,151,144,141,106,147,148,160,,Assault with minor injury,-20.07280118534628,,-8.755573612356208,,-7.555799513374531,,14.049680769521588,,-0.04490666577572216,,7.076750030340545,,5.203448299698955,,6.131818739997759,,10.655921583707437,,12.955105528476185,,51.127302889723794,,8.749037673458743,,7.64175275942062,,unknown
Violence without injury [note 9],452,274,280,247,190,227,223,211,196,235,156,209,180,165,,Violence without injury [note 9],-63.57776001749248,[s],-39.887719059277536,[s],-41.193145780064384,[s],-33.3861637795855,[s],-13.403589495094536,,-27.425003171495433,,-26.22747816269857,,-21.794419280280227,,-15.863515951851518,,-29.783639079628493,[s],5.546711059256696,,-21.18911277985325,,-8.389766795442299,,unknown
ROBBERY [note 10],64,41,52,41,29,31,31,23,29,17,18,39,15,8,,ROBBERY [note 10],-87.68425534213759,[s],-80.63899820250148,[s],-84.85453119778118,[s],-80.86662505670176,[s],-72.52771900078304,[s],-74.83899166040992,[s],-74.17735850813636,[s],-66.36325060198448,[s],-72.61945297701351,[s],-53.302550901619725,,-55.75989649045724,,-79.81943492569326,[s],-46.70650167922973,,unknown
PERSONAL THEFT,338,246,352,283,265,257,268,239,238,219,170,228,244,294,,PERSONAL THEFT,-13.222029718153177,,19.138904020736327,,-16.516569285341575,,3.7988393883198683,,10.96488759707801,,14.07807417999739,,9.462069282661368,,22.982466226599865,,23.152566972061887,,34.1754513124167,,72.2371404811375,[s],28.475918924240883,,20.381832324012436,,unknown
Theft from the person,38,29,49,40,31,46,47,36,33,26,24,34,48,51,,Theft from the person,33.67830868480342,,75.1077975986579,,3.9401592000320695,,25.10717634358243,,64.3541459515392,,9.801767671266862,,6.534840431625966,,40.571691418873435,,53.48580969291829,,93.88384002986622,,107.11818059641378,,50.22478257368543,,5.404870172236001,,unknown
Snatch theft from person,13,15,23,11,20,16,16,21,13,8,17,29,17,23,,Snatch theft from person,78.99857592677138,,51.91863565959694,,1.2963023931916438,,111.38908124447808,,14.566281095290682,,44.73374731470639,,48.76184020294134,,10.451832787193847,,79.70381130256669,,178.89850200038367,,34.2037523635977,,-20.81466581940874,,34.548763902497434,,unknown
Stealth theft from person,25,14,28,29,11,30,32,15,20,18,7,6,34,28,,Stealth theft from person,9.880624771021736,,104.0238397046051,,0.8089043213522109,,-5.800575848632983,,152.63749308546028,,-7.601948777568182,,-12.959200034305663,,85.5264631632421,,38.47729214044105,,56.16525754755889,,290.0728471005245,,389.0160252603448,,-19.446154964868974,,unknown
Other theft of personal property,201,136,228,204,196,176,197,165,179,135,133,175,169,236,,Other theft of personal property,17.669360767153343,,73.53203101656412,[s],3.4408712160220594,,15.759274960889194,,20.354743531371142,,34.15350259648399,,19.604922973859225,,42.96384620225456,[s],31.938737837623854,,74.30964596692834,[s],76.96910893021874,[s],34.510181044258765,,39.84690362652233,,unknown
Theft of personal property (unspecified) [note 11],20,15,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,Theft of personal property (unspecified) [note 11],,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Theft from the dwelling/outside the dwelling [note 8],20,25,29,19,15,23,15,15,19,20,9,19,24,6,,Theft from the dwelling/outside the dwelling [note 8],-70.83280293616471,[s],-76.5526086671198,[s],-80.26525383739158,[s],-68.99742212025151,[s],-62.35050479896671,,-74.67344274847466,[s],-60.33619677782171,,-60.36688619892255,,-69.15351335776104,[s],-71.21129751928586,[s],-32.17462404671709,,-69.03508682900122,,-75.42329077275106,,unknown
"CRIMINAL DAMAGE TO PERSONAL PROPERTY [notes 8, 12]",88,60,38,37,52,66,78,44,56,69,50,30,36,50,,"CRIMINAL DAMAGE TO PERSONAL PROPERTY [notes 8, 12]",-42.71736956718989,,-15.812315946903887,,30.929400096806457,,35.19751529518202,,-3.4805592448275675,,-24.277772384381223,,-35.62358669604135,,14.291032918665042,,-10.732897524719363,,-27.115658379969414,,0.8486350306099701,,65.54485531595323,,39.20763053959167,,unknown
ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,973,680,787,676,620,650,699,608,606,633,466,557,563,630,,ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,-35.27390972978254,[s],-7.351344025030285,,-19.983748953139205,[s],-6.759708647763936,,1.617066051958608,,-3.1013866646963977,,-9.915473160833276,,3.588078778758645,,3.8979389381912553,,-0.5636251950585696,,35.070337778085744,[s],13.051762372522496,,11.91548141839546,,unknown
