"table s41a: prevalence of domestic abuse, sexual assault and stalking1 in the last year among adults aged 16 to 742, by type and sex, year ending march 2018 and year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,age_band
England and Wales,,,,,,,Adults aged 16 to 74,unknown
,Men,,,,Women,,,unknown
,,,Apr '18 to Mar '19 compared with,,,,Apr '18 to Mar '19 compared with,unknown
,"Apr '17 to Mar '183,4",Apr '18 to Mar '193,"    Apr '17 to 
Mar '184",,"Apr '17 to Mar '183,4",Apr '18 to Mar '193,"    Apr '17 to 
Mar '184",unknown
,Percentage who were victims once or more,,Statistically significant difference,,Percentage who were victims once or more,,Statistically significant difference,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",3.7176504041268013,3.7572395513501764,,,6.938693743857272,7.4885088193731475,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",2.385979540643113,2.7541219050951957,,,5.500759874714803,5.61968859866154,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",1.72690903085295,1.3830140598047584,,,2.093874978458345,2.555971667331802,,unknown
Partner abuse - non-sexual,2.1216462239816862,2.4642673540222106,,,4.974860099024248,4.790548606029917,,unknown
"Non-physical abuse (emotional, financial)",1.3258908749980152,1.6000550306204466,,,3.946979077304605,3.801577354843076,,unknown
Threats or force,1.2411929394318315,1.328092779039013,,,2.6565232178013463,2.3808746450023484,,unknown
Threats,0.6431349818415021,0.640776877775772,,,2.058231727488938,1.8822259573279265,,unknown
Force,1.0443613184104996,1.0436614315510715,,,1.4636299725156157,1.34901882843463,,unknown
Family abuse - non-sexual,1.5343627838081355,1.2649047301485248,,,1.6231376086843516,2.2436675980193033,*,unknown
"Non-physical abuse (emotional, financial)",1.0895741698845665,0.6626875160694682,*,,1.2125396454542836,1.4391985030728789,,unknown
Threats or force,0.610823234525247,0.7893784338393183,,,0.8818871652251349,1.3224512412545923,*,unknown
Threats,0.3819412695781681,0.45506533091995144,,,0.7213379853629762,0.9642493422141415,,unknown
Force,0.356152157526628,0.4900071101154098,,,0.48673705416970825,0.678167202665311,,unknown
Any sexual assault (including attempts but excluding causing sexual activity without consent)5,1.0236118448254272,1.000072152340183,,,3.502981293486247,3.7120534046158906,,unknown
Any sexual assault (including attempts)5,1.0262365766515835,1.0113452213369842,,,3.5252343324021567,3.7405477087313654,,unknown
Sexual assault by rape or penetration including attempts,0.05217141569801207,0.1999730069993804,,,0.751276604267344,0.910023808396199,,unknown
Sexual assault by rape or penetration excluding attempts,0.03973405079201557,0.12978531926461134,,,0.5163718376617138,0.37314044852093986,,unknown
- Rape including attempts,0.03973860938384546,0.022068926293098628,,,0.536398605479459,0.5802090044213676,,unknown
- Rape excluding attempts,0.039795995381765384,0.02210104712080006,,,0.3437570266349809,0.20461540956118368,,unknown
- Assault by penetration including attempts,0.03328782219516265,0.1780199217636789,,,0.4439678840329299,0.5670029173354617,,unknown
- Assault by penetration excluding attempts,0.020830754154984057,0.1078314375248747,,,0.31987706805185867,0.24583573700795058,,unknown
"Causing sexual activity without consent5,6",0.010148877275003222,0.03922878976765168,,,0.014546726406214024,0.009190363714970682,,unknown
Indecent exposure or unwanted sexual touching,0.9878906947931693,0.9032232358131785,,,3.1637167244750337,3.149542309709856,,unknown
- Indecent exposure,0.310414934339282,0.1387853194862745,,,1.0091227635869553,0.7900009107267629,,unknown
- Unwanted sexual touching,0.7869090589454517,0.7845658248847729,,,2.6203325531517425,2.6833949315258363,,unknown
Any sexual assault (including attempts) by a partner,0.06290910216659264,0.018127491884311443,,,0.28946037640135724,0.5930736137767034,*,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.010133630046883876,0,¬,,0.179309502461844,0.26847639365392406,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.05254282472860601,0.01805960694830049,,,0.20700230113348167,0.4117322296420006,,unknown
- Indecent exposure by a partner,0.0204278449112087,0.009975279676530092,,,0.04689775475594855,0.050458670810747716,,unknown
- Unwanted sexual touching by a partner,0.03235844535675378,0.008110456807909,,,0.20598263258176477,0.40265113743460623,,unknown
Any sexual assault (including attempts) by a family member,0.04022182731296262,0,¬,,0.11359675098856747,0.09349069924113457,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.010214123977122617,0,¬,,0.06967797805388531,0.049002529212695906,,unknown
