"table s32:  worry about crime by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,,Adults aged 16 and over,,,,unknown
,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,,,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high levels of worry,,,,,,,Percentage with high levels of worry,,,,,unknown
Indian ,24.06946186283143,13.385568460008686,32.28157398381114,26.29434311599847,195,,,,,,,,unknown
Pakistani ,21.15672420501669,14.736312792871542,22.96079424321327,22.684478292480552,122,,Experience of crime in last 12 months (including fraud and computer misuse),,,,,,unknown
Bangladeshi ,33.20202776566596,14.865354801768321,24.434286227858323,23.683383410008496,62,,Victim,14.033610384446998,10.189411690609603,25.899215500575956,11.382348406718702,1783,unknown
Chinese ,-,-,-,-,35,,Not a victim,8.663592759888465,5.651734229462925,17.654851195865497,8.974784675993758,6840,unknown
Any other Asian background ,18.20056240338849,27.94358547496481,25.453673885187232,24.4096988953649,93,,,,,,,,unknown
Black/African/Caribbean/Black British,12.520043965277349,8.726665537162113,29.120832757923825,18.91412763560968,227,,Hours out of home on an average weekday,,,,,,unknown
African ,14.335956104737457,11.538918163080117,29.145799203672112,20.434580762659575,141,,Less than 3 hours,10.75128345059489,7.350518035123868,22.650310818561657,10.407310498731489,2617,unknown
Caribbean ,9.447497401057099,4.439098517096644,37.16446858987892,19.051365475636153,74,,3 hours or more but less than 7 hours,9.697514159583916,6.471980300921193,21.68386790308853,10.932987842296782,2273,unknown
Any other Black/African/Caribbean background,-,-,-,-,12,,7 hours or longer,9.367459461796408,6.44656688238703,16.44093540696822,8.316901478518565,3682,unknown
Other ethnic group,14.022282891422993,11.854215211200001,16.75180375925724,22.03995547507489,86,,,,,,,,unknown
Arab ,-,-,-,-,29,,Number of evening visits to pub/bar in the last month,,,,,,unknown
Any other ethnic group ,12.86388446043209,6.726385299458642,12.514691488703281,17.88671179050039,57,,,12.428405658065392,8.537144334409689,21.84080340351597,12.539691820811042,4624,unknown
,,,,,,,Less than once a week ,7.848551888033866,5.039825606559132,17.576069754606337,6.8538393617640265,2583,unknown
Marital status,,,,,,,Once a week or more often,5.7668693554816475,4.613002611704122,15.923374828917119,5.702054500550233,1411,unknown
Married/civil partnered,10.410225858807113,6.941708854151307,21.229142028676193,9.18076786279481,3887,,,,,,,,unknown
Cohabiting,9.65675853116444,5.176269922315193,16.978787946731348,8.636633831765037,940,,Number of visits to a nightclub in the last month,,,,,,unknown
