"table s8: public confidence in the police and local council by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",,,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",unknown
   Caribbean,53.57270344746703,26.297181815370656,20.13011473716234,268,,Experience of crime in the last 12 months (incl fraud & computer misuse),,,,,unknown
   Any other Black/African/Caribbean background,47.11249371422526,40.74582959169909,12.141676694075686,57,,Victim,47.022231060127964,24.425802161112188,28.551966778759596,6589,unknown
Other ethnic group,64.89316751984417,22.696832906029364,12.409999574126454,269,,Not a victim,57.21080102747206,25.93140244406984,16.857796528458575,14746,unknown
   Arab,70.56729271579717,15.153571613604969,14.279135670597903,90,,,,,,,unknown
   Any other ethnic group,61.51361369897137,27.189658961548453,11.296727339480164,179,,Hours out of home on an average weekday,,,,,unknown
,,,,,,Less than 3 hours,54.96754996098143,26.99033210534384,18.042117933674767,9738,unknown
Marital status,,,,,,3 hours or more but less than 7 hours,55.29343658818551,25.77757660899247,18.92898680282175,8519,unknown
Married/civil partnered,55.03913447911296,25.21338520537374,19.74748031551378,14859,,7 hours or longer,55.071547253313454,24.750387145440214,20.17806560124641,14157,unknown
Cohabiting,52.204685241630564,25.574561916961063,22.220752841408185,3493,,,,,,,unknown
Single,56.191542228039204,26.113234812602425,17.695222959358308,7314,,Number of evening visits to pub/bar in the last month,,,,,unknown
Separated,57.82000821259262,23.842855787221172,18.337136000186245,925,,,56.1447227840331,25.055652474087776,18.799624741879043,17252,unknown
Divorced/legally dissolved partnership,51.724347601342856,26.919755042082873,21.355897356574268,2794,,Less than once a week ,55.099060982777345,25.282010892839608,19.61892812438283,9779,unknown
Widowed,59.003430843161745,26.07779397287983,14.918775183958516,3116,,Once a week or more often,51.913845405886995,27.64591476364012,20.44023983047288,5506,unknown
,,,,,,Number of visits to a nightclub in the last month,,,,,unknown
,,,,,,,55.09737497312081,25.433848436925967,19.468776589953844,30916,unknown
,,,,,,1-3 times a month,53.621686597038966,27.876681103478717,18.50163229948237,1427,unknown
,,,,,,4+ times a month,57.27853798556687,28.25529961606058,14.466162398372573,211,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,,,unknown
"2. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,,,,unknown
"3. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,,,,unknown
4. The relevant question relating to overall level of perceived anti-social behaviour is only asked of one quarter of the CSEW sample.,,,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,,unknown
